pmcid,pmc_version,license_code,doi,n_images,n_questions,title,citation
PMC10037267,1,CC BY-NC,10.1093/inthealth/ihad005,1,2,"Exploring the impact of COVID-19 on frontline health workers through a photovoice study in Kaduna, Kwara and Ogun States, Nigeria",Int Health. 2023 Mar 24;15(Suppl 1):i110–25. doi: 10.1093/inthealth/ihad005
PMC10155245,1,CC BY-NC-SA,,1,2,XXXYY variant of Klinefelter syndrome: A case report,Int J Health Sci (Qassim). 2023 May-Jun;17(3):39–45.
PMC10201150,1,CC BY-NC,10.1177/24730114231172734,1,2,"Functional, Spiroergometric, and Subjective Comparisons Between Forearm Crutches and Hands-Free Single Crutches in a Crossover Study",Foot Ankle Orthop. 2023 May 19;8(2):24730114231172734. doi: 10.1177/24730114231172734
PMC10226617,1,CC BY-NC-ND,10.1097/GOX.0000000000005027,3,6,Modified Reconstruction Technique to Adapt Management of Severe Group IIB Tanzer Constricted Ear Deformity,Plast Reconstr Surg Glob Open. 2023 May 30;11(5):e5027. doi: 10.1097/GOX.0000000000005027
PMC10280516,1,CC BY-NC,10.1177/11795735231181467,1,2,Neurological Phenotypes of IRF2BPL Gene Variants: A Report of Four Novel Variants,J Cent Nerv Syst Dis. 2023 Jun 13;15:11795735231181467. doi: 10.1177/11795735231181467
PMC10324324,1,CC BY-NC,10.26603/001c.74973,1,2,"The Golfer’s Fore, Fore +, and Advanced Fore + Exercise Program: An Exercise Series and Injury Prevention Program for the Golfer",Int J Sports Phys Ther. 2023 Jun 1;18(3):789–99. doi: 10.26603/001c.74973
PMC10327876,1,CC BY-NC,10.1093/asjof/ojad047,1,2,A Novel Technique for the Permanent Restoration of Pretarsal Fullness of the Lower Eyelids,Aesthet Surg J Open Forum. 2023 Jun 16;5:ojad047. doi: 10.1093/asjof/ojad047
PMC10331090,1,CC BY-NC,10.1177/20552076231186217,1,2,Core stability status classification based on mediolateral head motion during rhythmic movements and functional movement tests,Digit Health. 2023 Jul 4;9:20552076231186217. doi: 10.1177/20552076231186217
PMC10351943,1,CC BY-NC-ND,10.1097/GOX.0000000000005121,1,2,Distal Bypass to the Deep Palmar Arch for Treatment of a Unique Presentation of Digital Ischemia,Plast Reconstr Surg Glob Open. 2023 Jul 17;11(7):e5121. doi: 10.1097/GOX.0000000000005121
PMC10367283,1,CC BY-NC,10.5005/jp-journals-10005-2605,1,2,Global Developmental Delay in Children with Full Mouth Rehabilitation: A Case Series,Int J Clin Pediatr Dent. 2023 May-Jun;16(3):522–7. doi: 10.5005/jp-journals-10005-2605
PMC10416782,1,CC BY-NC,10.2147/CCIDE.S419939,1,2,Prosthodontic Management of a Patient with Ectodermal Dysplasia: Case Report,Clin Cosmet Investig Dent. 2023 Aug 7;15:133–41. doi: 10.2147/CCIDE.S419939
PMC10423672,1,CC BY-NC-ND,10.1142/S1013702523500051,1,2,Sagittal trunk excursion and lumbar repositioning error between female and male patients with patellofemoral pain syndrome,Hong Kong Physiother J. 2023 Mar 10;43(2):81–91. doi: 10.1142/S1013702523500051
PMC10432451,1,CC BY-NC-ND,10.1111/os.13445,1,2,Clinical Application of Nail‐Plate Fixation in the Treatment of Complex Proximal Third Humeral Fracture: A Case Report and Literature Review,Orthop Surg. 2022 Sep 2;15(8):2187–92. doi: 10.1111/os.13445
PMC10474390,1,CC BY-NC,10.5005/jp-journals-10005-2623,1,2,Dermatoglyphics: Prediction for Prevention: An Innovative Tool in our Stash!,Int J Clin Pediatr Dent. 2023 Aug;16(Suppl 1):S101–8. doi: 10.5005/jp-journals-10005-2623
