image_file_name,pmcid,question,choices,answer_text,answer,tag
10.1177_25158414211059247-fig6.jpg,PMC8855428,Which maneuver is being demonstrated to assess eyelid laxity?,"[A] Lower eyelid snap-back test after inferior traction
[B] Levator function (levator excursion) measurement of the upper eyelid
[C] Lateral canthal distraction test assessing horizontal eyelid laxity
[D] MRD1 (marginal reflex distance 1) measurement of the upper lid using corneal light reflex and a ruler
[E] Vertical upper eyelid distraction (hyperlaxity) test with ruler measurement",Vertical upper eyelid distraction (hyperlaxity) test with ruler measurement,E,Eyes
10.1177_25158414211059247-fig6.jpg,PMC8855428,"In the right subfigure, what is the distance between the lower margin of the upper eyelid and the pupil center?","[A] 17 mm
[B] 23 mm
[C] 21 mm
[D] 19 mm",17 mm,A,Eyes
ijspt_2021_16_3_23549_59317.jpg,PMC8169025,"In subfigure B, which leg bears most weight?","[A] Right leg (stance limb)
[B] Neither leg predominates—weight remains centered between the feet
[C] Both legs bear the load about equally
[D] Left leg (contralateral support due to trunk lean)",Right leg (stance limb),A,Trunk & Extremities
ijspt_2021_16_3_23549_59317.jpg,PMC8169025,Which subfigure shows the immediate push-off after landing?,"[A] A (take-off to the right)
[B] C (immediate push-off after landing)
[C] None of the above
[D] B (landing/weight acceptance on the right, beginning of propulsion)",C (immediate push-off after landing),B,Trunk & Extremities
SNI-7-165-g001.jpg,PMC4804399,Which procedure is this scar most consistent with?,"[A] Lateral parapatellar incision for tibial intramedullary nail entry near the patellar tendon
[B] Lateral approach for femoral shaft fracture fixation
[C] Longitudinal medial thigh incision for great saphenous vein stripping
[D] Direct lateral (Hardinge) approach for total hip arthroplasty
[E] Medial parapatellar approach for total knee arthroplasty",Lateral approach for femoral shaft fracture fixation,B,Surgical & Procedural
IJPS-46-581-g003.jpg,PMC3897109,How was the chest donor site covered?,"[A] Supraclavicular fasciocutaneous advancement flap
[B] Split-thickness skin graft
[C] Left open to granulate under vacuum-assisted closure
[D] Primary closure after wide undermining of the right chest skin
[E] Full-thickness sheet skin graft harvested from the left groin",Split-thickness skin graft,B,Trunk & Extremities
IJPS-46-581-g003.jpg,PMC3897109,Which flap extends from the chest toward the face?,"[A] Pedicled deltopectoral skin flap
[B] Latissimus dorsi musculocutaneous free flap
[C] Pedicled supraclavicular artery fasciocutaneous flap
[D] Free radial forearm flap
[E] Thoracoacromial artery–based pectoralis major myocutaneous island flap",Pedicled deltopectoral skin flap,A,Surgical & Procedural
ojad047f8.jpg,PMC10327876,"In subfigure D, how is the pretarsal fullness distributed?","[A] Minimal fullness limited to the central third
[B] Continuous from medial to lateral (crescent-like)
[C] Segmental fullness with a central gap (bi-lobed)
[D] Predominantly medial with lateral tapering
[E] Predominantly lateral with central dip (comma-shaped)",Continuous from medial to lateral (crescent-like),B,Eyes
ojad047f8.jpg,PMC10327876,"In subfigures C and D, what change in lower eyelid contour is most evident?","[A] Increased infraorbital hollowing in D with flatter pretarsal segment
[B] Bilateral increase in pretarsal roll in D
[C] Unilateral left-sided increase in pretarsal roll in D
[D] Greater inferior scleral show in D
[E] Bilateral decrease in pretarsal roll in D",Bilateral increase in pretarsal roll in D,B,Eyes
JFDS-10-143-g002.jpg,PMC6528542,What is the most likely purpose of the procedure shown?,"[A] Occlusive adhesive dressing applied for acute cheilitis
[B] Cheiloscopic recording of vermilion ridge patterns for forensic identification
[C] Patch testing for allergic contact cheilitis due to lipstick
[D] Tape-stripping to collect epithelial cells from the vermilion for cytology
[E] Temporary protective taping after minor lip laceration repair",Cheiloscopic recording of vermilion ridge patterns for forensic identification,B,Mouth & Jaws
JFDS-10-143-g002.jpg,PMC6528542,Which preparation enhances the visibility of lip prints here?,"[A] Fluoride varnish coating
[B] Matte, dark-colored lipstick
[C] Povidone–iodine solution applied to the lips
[D] Colorless petroleum jelly (lip balm)","Matte, dark-colored lipstick",B,Mouth & Jaws
CTO-06-03-g-014.jpg,PMC3199843,Which auricular substructures are most distorted or absent?,"[A] Antihelix and scaphoid fossa
[B] Helix and helical crus
[C] Tragus and antitragus
[D] Cavum conchae and cymba conchae
[E] Lobule only",Antihelix and scaphoid fossa,A,Head & Neck
CTO-06-03-g-014.jpg,PMC3199843,Which procedure most likely produced this auricular deformity?,"[A] External auditory canal canalplasty
[B] Partial auriculectomy of the conchal bowl
[C] Radical mastoidectomy with canal wall exteriorization (meatoplasty)
[D] Endaural tympanoplasty with tragal cartilage graft
[E] Pinna setback for prominent ears (otoplasty/otopexia)",Pinna setback for prominent ears (otoplasty/otopexia),E,Head & Neck
ijcpd-14-575-g003.jpg,PMC8585908,"In subfigure A, which landmarks are used to measure mouth opening?","[A] Free gingival margins of the upper and lower central incisors
[B] Incisal edges of the maxillary and mandibular central incisors
[C] Occlusal surfaces of the opposing first molars
[D] Tips of the maxillary and mandibular canine cusps
[E] Upper and lower vermilion borders of the lips",Incisal edges of the maxillary and mandibular central incisors,B,Mouth & Jaws
ijcpd-14-575-g003.jpg,PMC8585908,Which method minimizes parallax error and improves reproducibility for interincisal distance?,"[A] Metal ruler positioned anterior to the incisors without contact (subfigure A)
[B] Both techniques reduce parallax equally if the observer's gaze is perpendicular to the scale
[C] Metal ruler lightly touching only the lower incisal edge to stabilize the reading (subfigure A)
[D] Digital Vernier caliper with jaws contacting both upper and lower incisal edges (subfigure B)",Digital Vernier caliper with jaws contacting both upper and lower incisal edges (subfigure B),D,Mouth & Jaws
ijspt_2023_18_6_89926_186324.jpg,PMC10693490,"In the right subfigure, which upper limb bears most body weight?","[A] Weight is evenly distributed between the arms
[B] Left upper limb
[C] Right upper limb
[D] Neither upper limb
[E] Most weight borne through the knees/legs",Right upper limb,C,Trunk & Extremities
ijspt_2023_18_6_89926_186324.jpg,PMC10693490,What function is primarily assessed by this task?,"[A] Visual–motor reaction time to light stimuli
[B] Scapulothoracic flexibility/mobility
[C] Closed-chain upper-extremity stability and motor control
[D] Open-chain shoulder endurance and coordination
[E] Trunk and lumbopelvic stability under load",Closed-chain upper-extremity stability and motor control,C,Trunk & Extremities
10.1177_2325967118759953-fig2.jpg,PMC5865521,Which muscle group’s control is primarily being assessed by maintaining the weight-bearing knee in this position?,"[A] Passive screw-home mechanism with no primary muscle control
[B] Hip abductors/external rotators (gluteus medius/minimus)
[C] Plantarflexors (soleus-dominant) providing an extension moment in stance
[D] Knee extensors (quadriceps)
[E] Knee flexors (hamstrings) with gastrocnemius co-contraction",Knee extensors (quadriceps),D,Trunk & Extremities
10.1177_2325967118759953-fig2.jpg,PMC5865521,What knee position is emphasized in the weight-bearing limb during single-limb stance?,"[A] Mid-range flexion (~20–30°) with valgus control
[B] Terminal knee extension (full extension)
[C] Slight flexion (about 5–10°) to avoid locking
[D] Mild hyperextension (genu recurvatum ~5° past neutral)",Terminal knee extension (full extension),B,Trunk & Extremities
